url,img,lines,author
https://www.passiton.com/inspirational-quotes/6666-no-act-of-kindness-no-matter-how-small-is,https://assets.passiton.com/quotes/quote_artwork/6666/medium/20290919_friday_quote.jpg,"No act of kindness, no matter how small, is ever wasted. #<Author:0x00007fd4e8b26050>",
https://www.passiton.com/inspirational-quotes/8067-you-can-always-always-give-something-even-if,https://assets.passiton.com/quotes/quote_artwork/8067/medium/20290918_thursday_quote.jpg,"You can always, always give something, even if it is only kindness! #<Author:0x00007fd4e8b25b50>",
https://www.passiton.com/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/quote_artwork/4228/medium/20290917_wednesday_quote.jpg,"Good words bring good feelings to the heart. Speak with kindness, always.  #<Author:0x00007fd4e8b25010>",
https://www.passiton.com/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20290916_tuesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on. #<Author:0x00007fd4e8b24750>",
https://www.passiton.com/inspirational-quotes/7667-kindness-can-become-its-own-motive-we-are-made,https://assets.passiton.com/quotes/quote_artwork/7667/medium/20290915_monday_quote.jpg,Kindness can become its own motive. We are made kind by being kind. #<Author:0x00007fd4e8b24250>,
https://www.passiton.com/inspirational-quotes/8455-don-t-let-anyone-rob-you-of-your-imagination,https://assets.passiton.com/quotes/quote_artwork/8455/medium/20250912_friday_quote.jpg,"Don’t let anyone rob you of your imagination, creativity, or curiosity. It’s your place in the world; it’s your life. Go on and do all you can with it, and make it the life you want to live. #<Author:0x00007fd4e8b23850>",
https://www.passiton.com/inspirational-quotes/7382-you-cannot-discover-new-oceans-unless-you-have,https://assets.passiton.com/quotes/quote_artwork/7382/medium/20250911_thursday_quote.jpg,You cannot discover new oceans unless you have the courage to lose sight of the shore. #<Author:0x00007fd4e8b22950>,
https://www.passiton.com/inspirational-quotes/8344-innovation-is-to-imagine-the-future-and-fill-in,https://assets.passiton.com/quotes/quote_artwork/8344/medium/20250910_wednesday_quote.jpg,Innovation is to imagine the future and fill in the gaps. #<Author:0x00007fd4e8b221d0>,
https://www.passiton.com/inspirational-quotes/8454-all-sorts-of-things-can-happen-when-you-re-open,https://assets.passiton.com/quotes/quote_artwork/8454/medium/20250909_tuesday_quote.jpg,All sorts of things can happen when you’re open to new ideas and playing around with things. #<Author:0x00007fd4e8b21190>,
https://www.passiton.com/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20250908_monday_quote.jpg,Innovation is the ability to see change as an opportunity – not a threat. #<Author:0x00007fd4e8b3f500>,
https://www.passiton.com/inspirational-quotes/3353-there-is-no-substitute-for-hard-work,https://assets.passiton.com/quotes/quote_artwork/3353/medium/20250905_friday_quote.jpg,There is no substitute for hard work. #<Author:0x00007fd4e8b3ec40>,
https://www.passiton.com/inspirational-quotes/7468-the-price-of-success-is-hard-work-dedication,https://assets.passiton.com/quotes/quote_artwork/7468/medium/20250904_thursday_quote.jpg,"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand. #<Author:0x00007fd4e8b3e4c0>",
https://www.passiton.com/inspirational-quotes/7893-success-isnt-always-about-greatness-its-about,https://assets.passiton.com/quotes/quote_artwork/7893/medium/20250903_wednesday_quote.jpg,Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come. #<Author:0x00007fd4e8b3d980>,
https://www.passiton.com/inspirational-quotes/8453-all-labor-that-uplifts-humanity-has-dignity-and,https://assets.passiton.com/quotes/quote_artwork/8453/medium/20250902_tuesday_quote.jpg,All labor that uplifts humanity has dignity and importance. #<Author:0x00007fd4e8b3ce40>,
https://www.passiton.com/inspirational-quotes/8452-without-labor-nothing-prospers,https://assets.passiton.com/quotes/quote_artwork/8452/medium/20250901_monday_quote.jpg,"Without labor, nothing prospers. #<Author:0x00007fd4e8b3c6c0>",
https://www.passiton.com/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20250829_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity. #<Author:0x00007fd4e8b3c080>,
https://www.passiton.com/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20250828_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen. #<Author:0x00007fd4e8b3bb80>,
https://www.passiton.com/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20250827_wednesday_quote.jpg,I’m a very strong believer in listening and learning from others. #<Author:0x00007fd4e8b3b540>,
https://www.passiton.com/inspirational-quotes/7609-there-is-a-voice-that-doesn-t-use-words-listen,https://assets.passiton.com/quotes/quote_artwork/7609/medium/20250826_tuesday_quote.jpg,There is a voice that doesn’t use words. Listen. #<Author:0x00007fd4e8b3af00>,
https://www.passiton.com/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20250825_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors. #<Author:0x00007fd4e8b3a780>,
